Date,Open,High,Low,Close,Adj Close,Volume,Days 
2022-07-29,1874.170044,1888.219971,1865.76001,1885.22998,1885.22998,4616360000,116
2022-08-01,1870.48999,1892.969971,1859.880005,1883.310059,1883.310059,4202810000,117
2022-08-02,1875.5,1900.72998,1875.050049,1882.449951,1882.449951,4727710000,118
2022-08-03,1895.380005,1912.77002,1891.050049,1908.930054,1908.930054,4351760000,119
2022-08-04,1908.52002,1911.569946,1899.459961,1906.459961,1906.459961,4283320000,120
2022-08-05,1887.540039,1922.550049,1884.180054,1921.819946,1921.819946,4085940000,121
2022-08-08,1928.410034,1959.130005,1928.410034,1941.209961,1941.209961,4221090000,121
2022-08-09,1937.25,1937.25,1904.969971,1912.890015,1912.890015,3913090000,122
2022-08-10,1935.77002,1970.949951,1935.77002,1969.25,1969.25,4546010000,123
2022-08-11,1981.930054,2005.209961,1972.630005,1975.26001,1975.26001,4630200000,124
2022-08-12,1978.790039,2016.619995,1978.670044,2016.619995,2016.619995,3788010000,125
2022-08-15,2007.410034,2022.030029,1994.680054,2021.349976,2021.349976,3696830000,126
2022-08-16,2018.73999,2030.050049,2003.780029,2020.530029,2020.530029,4329820000,127
2022-08-17,2008.880005,2008.880005,1976.140015,1987.310059,1987.310059,3885030000,128
2022-08-18,1987.819946,2003.01001,1982.589966,2000.72998,2000.72998,3340330000,129
2022-08-19,1992.300049,1992.300049,1952.5,1957.349976,1957.349976,3761340000,130
2022-08-22,1931.709961,1933.689941,1911.689941,1915.73999,1915.73999,3907430000,131
2022-08-23,1920.130005,1937.969971,1917.319946,1919.140015,1919.140015,3823520000,132
2022-08-24,1918.650024,1941.150024,1916.579956,1935.290039,1935.290039,3583630000,133
2022-08-25,1944.380005,1964.640015,1943.199951,1964.640015,1964.640015,3566870000,134
2022-08-26,1965.22998,1965.310059,1898.51001,1899.829956,1899.829956,3832750000,135
2022-08-29,1880.630005,1898.670044,1879.130005,1882.939941,1882.939941,3396510000,136
2022-08-30,1889.160034,1889.349976,1847.540039,1855.589966,1855.589966,3835860000,137
2022-08-31,1859.180054,1865.280029,1843.079956,1844.119995,1844.119995,4542490000,138
2022-09-01,1826.75,1826.75,1799.170044,1822.819946,1822.819946,4152250000,139
2022-09-02,1844.170044,1846.97998,1802.140015,1809.75,1809.75,3665850000,140
2022-09-06,1813.180054,1815.150024,1786.680054,1792.319946,1792.319946,4127340000,141
